l, theta
nan,-0.220893
nan,-0.214757
nan,-0.208621
nan,-0.202485
nan,-0.196349
nan,-0.190214
nan,-0.184078
nan,-0.177942
nan,-0.171806
nan,-0.16567
nan,-0.159534
nan,-0.153398
nan,-0.147262
nan,-0.141126
nan,-0.13499
nan,-0.128854
nan,-0.122718
nan,-0.116582
nan,-0.110446
nan,-0.104311
nan,-0.0981748
nan,-0.0920389
nan,-0.0859029
nan,-0.079767
nan,-0.073631
nan,-0.0674951
nan,-0.0613592
nan,-0.0552232
nan,-0.0490873
nan,-0.0429513
0.006,-0.0368154
nan,-0.0306795
0.006,-0.0245435
0.006,-0.0184078
0.006,-0.0122719
nan,-0.00613594
nan,0
nan,0.00613594
nan,0.0122719
nan,0.0184078
nan,0.0245438
nan,0.0306797
nan,0.0368156
nan,0.0429516
nan,0.0490875
nan,0.0552235
nan,0.0613594
nan,0.0674951
nan,0.073631
nan,0.079767
nan,0.0859029
nan,0.0920389
nan,0.0981748
nan,0.104311
nan,0.110447
nan,0.116583
nan,0.122719
nan,0.128855
nan,0.13499
nan,0.141126
nan,0.147262
nan,0.153398
nan,0.159534
nan,0.16567
nan,0.171806
nan,0.177942
nan,0.184078
nan,0.190214
nan,0.19635
nan,0.202486
nan,0.208622
nan,0.214757
nan,0.220893
nan,0.227029
nan,0.233165
nan,0.239301
nan,0.245437
nan,0.251573
nan,0.257709
nan,0.263845
nan,0.269981
nan,0.276117
nan,0.282253
nan,0.288388
nan,0.294524
nan,0.30066
nan,0.306796
nan,0.312932
nan,0.319068
nan,0.325204
nan,0.33134
nan,0.337476
nan,0.343612
nan,0.349748
nan,0.355884
nan,0.36202
nan,0.368155
nan,0.374291
nan,0.380427
nan,0.386563
nan,0.392699
nan,0.398835
nan,0.404971
nan,0.411107
nan,0.417243
nan,0.423379
nan,0.429515
nan,0.435651
nan,0.441787
nan,0.447922
nan,0.454058
nan,0.460194
nan,0.46633
nan,0.472466
nan,0.478602
nan,0.484738
nan,0.490874
nan,0.49701
nan,0.503146
nan,0.509282
nan,0.515418
nan,0.521554
nan,0.527689
nan,0.533825
nan,0.539961
nan,0.546097
nan,0.552233
nan,0.558369
nan,0.564505
nan,0.570641
nan,0.576777
nan,0.582913
nan,0.589049
nan,0.595185
nan,0.601321
nan,0.607456
nan,0.613592
nan,0.619728
nan,0.625864
nan,0.632
nan,0.638136
nan,0.644272
nan,0.650408
nan,0.656544
nan,0.66268
nan,0.668816
nan,0.674952
nan,0.681087
nan,0.687223
nan,0.693359
0.255,0.699495
0.251,0.705631
0.241,0.711767
0.24,0.717903
0.238,0.724039
0.236,0.730175
0.235,0.736311
0.235,0.742447
0.235,0.748583
0.233,0.754719
0.23,0.760854
0.232,0.76699
0.232,0.773126
0.226,0.779262
0.226,0.785398
0.226,0.791534
0.226,0.79767
0.225,0.803806
0.224,0.809942
0.223,0.816078
0.218,0.822214
0.218,0.82835
0.212,0.834486
0.212,0.840621
0.211,0.846757
0.211,0.852893
0.211,0.859029
0.211,0.865165
0.209,0.871301
0.209,0.877437
0.209,0.883573
0.211,0.889709
0.209,0.895845
0.208,0.901981
0.208,0.908117
0.209,0.914253
0.209,0.920388
0.21,0.926524
0.21,0.93266
0.21,0.938796
0.21,0.944932
0.209,0.951068
0.208,0.957204
0.209,0.96334
0.208,0.969476
0.209,0.975612
0.21,0.981748
0.21,0.987884
0.206,0.99402
0.209,1.00016
0.206,1.00629
0.206,1.01243
0.209,1.01856
0.209,1.0247
0.209,1.03084
0.209,1.03697
0.213,1.04311
0.213,1.04924
0.209,1.05538
0.209,1.06151
0.214,1.06765
0.209,1.07379
0.215,1.07992
0.215,1.08606
0.215,1.09219
0.218,1.09833
0.221,1.10447
0.243,1.1106
0.289,1.11674
0.291,1.12287
0.293,1.12901
0.293,1.13515
0.295,1.14128
0.303,1.14742
0.303,1.15355
0.303,1.15969
0.302,1.16583
0.302,1.17196
0.302,1.1781
0.302,1.18423
